county,year,total_self_assessed_under30,estimated_platform_workers,platform_share_pct,median_platform_income_eur,top_platform
Leitrim,2020,38,9,25.5,9042,Airbnb
Leitrim,2021,36,11,31.4,15436,Bolt
Leitrim,2022,50,17,35.0,9128,Fiverr
Leitrim,2023,24,9,38.0,8024,Fiverr
Leitrim,2024,47,20,43.4,7308,TaskRabbit
Leitrim,2025,41,18,44.9,15412,Fiverr
Limerick,2018,231,37,16.1,9147,JustEat
Limerick,2019,112,26,23.4,8433,Bolt
Limerick,2020,116,31,27.1,14027,Bolt
Limerick,2021,124,36,29.1,11076,JustEat
Limerick,2022,238,78,33.1,5866,Bolt
Limerick,2023,134,48,36.1,12820,Other
Limerick,2024,237,101,42.8,16479,Other
Limerick,2025,148,65,44.6,13792,Upwork
Longford,2018,48,8,17.7,10747,Deliveroo
Longford,2019,42,9,22.0,7999,Other
Longford,2020,46,12,27.5,14020,Airbnb
Longford,2021,47,13,28.1,9477,Deliveroo
Longford,2022,30,9,33.0,12585,Deliveroo
Longford,2023,25,9,39.8,14841,Deliveroo
Longford,2024,30,12,40.7,12333,Upwork
Longford,2025,28,13,47.7,12646,Deliveroo
Louth,2018,171,33,19.4,12052,Deliveroo
Louth,2019,146,31,21.8,12594,Airbnb
Louth,2020,178,48,27.5,9118,JustEat
Louth,2021,118,33,28.5,10859,Deliveroo
Louth,2022,123,42,34.6,14973,JustEat
Louth,2023,167,62,37.4,6523,Bolt
Louth,2024,122,52,42.7,15453,JustEat
Louth,2025,121,56,46.5,11961,Other
Mayo,2018,90,16,18.1,7674,Bolt
Mayo,2019,115,23,20.5,7148,Deliveroo
Mayo,2020,124,30,24.5,9445,Upwork
Mayo,2021,80,23,29.4,11086,Bolt
Mayo,2022,80,25,32.2,10569,JustEat
Mayo,2023,84,33,39.3,10485,Upwork
Mayo,2024,133,55,42.0,15236,Bolt
Mayo,2025,120,57,47.8,14684,Other
Meath,2018,112,19,17.4,12628,Deliveroo
Meath,2019,144,33,23.2,14472,Airbnb
Meath,2020,118,30,26.2,7056,Bolt
Meath,2021,180,55,30.7,9812,Other
Meath,2022,154,53,34.6,5590,Upwork
Meath,2023,240,88,36.9,14071,Fiverr
Meath,2024,209,85,41.0,9894,JustEat
Meath,2025,108,47,44.1,15997,Fiverr
Monaghan,2018,69,13,19.4,12436,Bolt
Monaghan,2019,46,10,23.1,10325,TaskRabbit
Monaghan,2020,40,10,27.2,6874,Airbnb
Monaghan,2021,82,25,31.1,6090,Deliveroo
Monaghan,2022,67,21,32.3,10577,JustEat
Monaghan,2023,78,29,38.4,7521,Fiverr
Monaghan,2024,45,18,41.5,10150,Fiverr
Monaghan,2025,77,34,44.2,7816,Fiverr
Offaly,2018,67,11,17.5,11666,Bolt
Offaly,2019,53,11,22.4,11594,Bolt
Offaly,2020,86,22,26.6,13884,Deliveroo
Offaly,2021,86,27,31.8,11761,Airbnb
Offaly,2022,86,28,32.6,15033,Bolt
Offaly,2023,96,37,38.8,10674,JustEat
Offaly,2024,52,21,40.9,14941,Upwork
Offaly,2025,94,44,47.1,7432,Deliveroo
Roscommon,2018,49,8,17.3,5814,Other
Roscommon,2019,58,12,21.1,9020,Deliveroo
Roscommon,2020,49,12,25.3,12845,TaskRabbit
Roscommon,2021,57,16,29.6,12706,Deliveroo
Roscommon,2022,45,15,35.0,11965,Airbnb
Roscommon,2023,78,30,39.3,7556,Airbnb
Roscommon,2024,44,18,41.0,11142,Fiverr
Roscommon,2025,41,19,47.3,6026,Deliveroo
Sligo,2018,80,13,17.2,10391,Deliveroo
Sligo,2019,73,15,21.4,12233,Fiverr
Sligo,2020,40,9,24.8,9528,Deliveroo
Sligo,2021,63,18,30.1,10002,Other
Sligo,2022,81,27,33.3,10337,Deliveroo
Sligo,2023,81,31,39.5,11706,Deliveroo
Sligo,2024,57,22,40.1,16562,TaskRabbit
Sligo,2025,55,25,47.1,17085,Fiverr
Tipperary,2018,99,16,17.0,9476,Other
Tipperary,2019,137,28,20.7,7514,Bolt
Tipperary,2020,153,36,24.1,9116,Airbnb
Tipperary,2021,84,26,31.7,12432,JustEat
Tipperary,2022,134,43,32.7,5965,Deliveroo
Tipperary,2023,165,63,38.7,15574,Upwork
Tipperary,2024,97,39,40.8,15143,Deliveroo
Tipperary,2025,160,71,44.8,11595,Deliveroo
Waterford,2018,96,19,19.9,13953,Deliveroo
Waterford,2019,139,29,21.0,6194,TaskRabbit
Waterford,2020,153,37,24.5,13799,Deliveroo
Waterford,2021,96,27,28.3,14609,Bolt
Waterford,2022,147,52,35.9,15737,Deliveroo
Waterford,2023,140,52,37.5,14167,Airbnb
Waterford,2024,118,47,40.2,8636,Deliveroo
Waterford,2025,163,77,47.6,8301,Upwork
Westmeath,2018,66,12,18.2,12877,Deliveroo
Westmeath,2019,70,14,20.4,11761,Upwork
Westmeath,2020,107,29,27.2,9069,Deliveroo
Westmeath,2021,91,27,30.5,5576,JustEat
Westmeath,2022,108,36,33.4,11704,Fiverr
Westmeath,2023,77,30,39.3,15831,JustEat
Westmeath,2024,106,46,43.8,10055,Upwork
Westmeath,2025,58,26,45.1,13241,Fiverr
Wexford,2018,117,20,17.3,9329,Other
Wexford,2019,162,38,23.5,9042,Airbnb
Wexford,2020,118,29,25.2,5301,Other
Wexford,2021,85,26,31.6,13650,Other
Wexford,2022,123,40,32.6,6484,Upwork
Wexford,2023,150,56,37.4,6140,Fiverr
Wexford,2024,148,60,40.8,10904,Bolt
Wexford,2025,157,74,47.5,12398,JustEat
Wicklow,2018,123,21,17.7,10039,TaskRabbit
Wicklow,2019,142,34,24.0,14624,Fiverr
Wicklow,2020,121,29,24.4,9319,Deliveroo
Wicklow,2021,193,60,31.4,11264,TaskRabbit
Wicklow,2022,203,68,33.6,10611,Deliveroo
Wicklow,2023,156,62,40.0,7481,Deliveroo
Wicklow,2024,112,48,43.7,15677,Fiverr
Wicklow,2025,108,49,45.8,12778,Upwork
