county,year,quarter,age_band,population_sample,employed,unemployed,self_employed,employment_rate,self_emp_rate
Cavan,2021,Q2,20-24,291,200,10,26,68.7,13.0
Cavan,2021,Q2,25-29,307,254,20,48,82.7,18.9
Cavan,2021,Q2,30-34,335,282,22,63,84.2,22.3
Cavan,2021,Q3,15-19,317,105,7,11,33.1,10.5
Cavan,2021,Q3,20-24,291,191,18,18,65.6,9.4
Cavan,2021,Q3,25-29,335,276,27,48,82.4,17.4
Cavan,2021,Q3,30-34,404,349,23,78,86.4,22.3
Cavan,2021,Q4,15-19,335,118,8,26,35.2,22.0
Cavan,2021,Q4,20-24,377,262,14,25,69.5,9.5
Cavan,2021,Q4,25-29,328,271,11,55,82.6,20.3
Cavan,2021,Q4,30-34,308,262,13,29,85.1,11.1
Cavan,2022,Q1,15-19,241,88,7,20,36.5,22.7
Cavan,2022,Q1,20-24,252,182,19,28,72.2,15.4
Cavan,2022,Q1,25-29,397,360,32,61,90.7,16.9
Cavan,2022,Q1,30-34,412,388,22,87,94.2,22.4
Cavan,2022,Q2,15-19,390,146,6,17,37.4,11.6
Cavan,2022,Q2,20-24,251,177,20,32,70.5,18.1
Cavan,2022,Q2,25-29,405,345,35,63,85.2,18.3
Cavan,2022,Q2,30-34,383,372,38,41,97.1,11.0
Cavan,2022,Q3,15-19,268,102,10,11,38.1,10.8
Cavan,2022,Q3,20-24,298,218,22,48,73.2,22.0
Cavan,2022,Q3,25-29,275,247,12,53,89.8,21.5
Cavan,2022,Q3,30-34,304,289,23,49,95.1,17.0
Cavan,2022,Q4,15-19,286,104,10,20,36.4,19.2
Cavan,2022,Q4,20-24,268,196,16,38,73.1,19.4
Cavan,2022,Q4,25-29,324,281,15,64,86.7,22.8
Cavan,2022,Q4,30-34,404,372,27,49,92.1,13.2
Cavan,2023,Q1,15-19,348,129,11,21,37.1,16.3
Cavan,2023,Q1,20-24,377,270,30,57,71.6,21.1
Cavan,2023,Q1,25-29,277,240,20,44,86.6,18.3
Cavan,2023,Q1,30-34,255,249,28,58,97.6,23.3
Cavan,2023,Q2,15-19,361,133,7,15,36.8,11.3
Cavan,2023,Q2,20-24,365,262,29,59,71.8,22.5
Cavan,2023,Q2,25-29,409,357,31,53,87.3,14.8
Cavan,2023,Q2,30-34,332,314,32,28,94.6,8.9
Cavan,2023,Q3,15-19,412,156,17,36,37.9,23.1
Cavan,2023,Q3,20-24,302,223,25,40,73.8,17.9
Cavan,2023,Q3,25-29,293,256,22,29,87.4,11.3
Cavan,2023,Q3,30-34,390,386,26,70,99.0,18.1
Cavan,2023,Q4,15-19,286,106,8,25,37.1,23.6
Cavan,2023,Q4,20-24,348,250,18,25,71.8,10.0
Cavan,2023,Q4,25-29,347,310,27,31,89.3,10.0
Cavan,2023,Q4,30-34,304,289,30,41,95.1,14.2
Cavan,2024,Q1,15-19,325,127,8,28,39.1,22.0
Cavan,2024,Q1,20-24,245,178,18,29,72.7,16.3
Cavan,2024,Q1,25-29,297,270,21,46,90.9,17.0
Cavan,2024,Q1,30-34,318,319,36,48,100.3,15.0
Cavan,2024,Q2,15-19,377,150,12,33,39.8,22.0
Cavan,2024,Q2,20-24,256,187,18,37,73.0,19.8
Cavan,2024,Q2,25-29,333,295,17,59,88.6,20.0
Cavan,2024,Q2,30-34,338,319,33,38,94.4,11.9
Cavan,2024,Q3,15-19,318,119,7,24,37.4,20.2
Cavan,2024,Q3,20-24,275,212,24,51,77.1,24.1
Cavan,2024,Q3,25-29,294,260,16,61,88.4,23.5
Cavan,2024,Q3,30-34,241,237,23,54,98.3,22.8
Cavan,2024,Q4,15-19,354,141,12,28,39.8,19.9
Cavan,2024,Q4,20-24,396,292,20,54,73.7,18.5
Cavan,2024,Q4,25-29,358,333,22,72,93.0,21.6
Cavan,2024,Q4,30-34,307,307,17,76,100.0,24.8
Cavan,2025,Q1,15-19,348,133,14,23,38.2,17.3
Cavan,2025,Q1,20-24,278,207,16,36,74.5,17.4
Cavan,2025,Q1,25-29,396,366,33,49,92.4,13.4
Cavan,2025,Q1,30-34,323,328,38,59,101.5,18.0
Cavan,2025,Q2,15-19,272,108,10,24,39.7,22.2
Cavan,2025,Q2,20-24,278,206,17,28,74.1,13.6
Cavan,2025,Q2,25-29,244,223,17,47,91.4,21.1
Cavan,2025,Q2,30-34,342,329,36,78,96.2,23.7
Cavan,2025,Q3,15-19,290,112,10,19,38.6,17.0
Cavan,2025,Q3,20-24,360,273,19,48,75.8,17.6
Cavan,2025,Q3,25-29,412,375,43,46,91.0,12.3
Cavan,2025,Q3,30-34,327,331,15,76,101.2,23.0
Cavan,2025,Q4,15-19,243,94,9,13,38.7,13.8
Cavan,2025,Q4,20-24,307,243,17,60,79.2,24.7
Cavan,2025,Q4,25-29,361,339,19,33,93.9,9.7
Cavan,2025,Q4,30-34,284,273,29,63,96.1,23.1
Clare,2018,Q1,15-19,653,230,15,43,35.2,18.7
Clare,2018,Q1,20-24,650,436,29,60,67.1,13.8
Clare,2018,Q1,25-29,430,357,26,40,83.0,11.2
Clare,2018,Q1,30-34,465,395,15,85,84.9,21.5
Clare,2018,Q2,15-19,450,158,10,14,35.1,8.9
Clare,2018,Q2,20-24,408,287,21,30,70.3,10.5
Clare,2018,Q2,25-29,558,474,47,80,84.9,16.9
Clare,2018,Q2,30-34,440,392,37,77,89.1,19.6
Clare,2018,Q3,15-19,668,241,22,42,36.1,17.4
Clare,2018,Q3,20-24,644,453,19,80,70.3,17.7
Clare,2018,Q3,25-29,600,479,40,99,79.8,20.7
Clare,2018,Q3,30-34,567,506,32,105,89.2,20.8
Clare,2018,Q4,15-19,648,225,23,41,34.7,18.2
Clare,2018,Q4,20-24,585,408,26,79,69.7,19.4
Clare,2018,Q4,25-29,536,444,30,70,82.8,15.8
Clare,2018,Q4,30-34,448,406,33,57,90.6,14.0
Clare,2019,Q1,15-19,581,208,21,33,35.8,15.9
Clare,2019,Q1,20-24,598,418,46,71,69.9,17.0
Clare,2019,Q1,25-29,624,501,54,42,80.3,8.4
Clare,2019,Q1,30-34,470,417,47,38,88.7,9.1
Clare,2019,Q2,15-19,414,150,10,22,36.2,14.7
Clare,2019,Q2,20-24,535,381,45,73,71.2,19.2
Clare,2019,Q2,25-29,579,484,47,39,83.6,8.1
Clare,2019,Q2,30-34,614,543,34,67,88.4,12.3
Clare,2019,Q3,15-19,546,187,7,41,34.2,21.9
Clare,2019,Q3,20-24,692,464,33,46,67.1,9.9
Clare,2019,Q3,25-29,493,426,43,40,86.4,9.4
Clare,2019,Q3,30-34,619,571,50,120,92.2,21.0
Clare,2019,Q4,15-19,512,177,21,20,34.6,11.3
Clare,2019,Q4,20-24,687,465,49,46,67.7,9.9
Clare,2019,Q4,25-29,453,368,21,40,81.2,10.9
Clare,2019,Q4,30-34,529,486,50,83,91.9,17.1
Clare,2020,Q1,15-19,660,217,25,23,32.9,10.6
Clare,2020,Q1,20-24,644,399,31,91,62.0,22.8
Clare,2020,Q1,25-29,401,307,17,35,76.6,11.4
Clare,2020,Q1,30-34,444,358,30,34,80.6,9.5
Clare,2020,Q2,15-19,561,175,13,15,31.2,8.6
Clare,2020,Q2,20-24,565,337,22,74,59.6,22.0
Clare,2020,Q2,25-29,597,431,31,59,72.2,13.7
Clare,2020,Q2,30-34,563,458,20,74,81.3,16.2
Clare,2020,Q3,15-19,418,130,12,12,31.1,9.2
Clare,2020,Q3,20-24,696,416,46,66,59.8,15.9
Clare,2020,Q3,25-29,457,350,23,64,76.6,18.3
Clare,2020,Q3,30-34,544,449,46,81,82.5,18.0
Clare,2020,Q4,15-19,576,178,9,23,30.9,12.9
Clare,2020,Q4,20-24,678,426,40,74,62.8,17.4
Clare,2020,Q4,25-29,610,444,49,100,72.8,22.5
Clare,2020,Q4,30-34,415,341,17,45,82.2,13.2
Clare,2021,Q1,15-19,675,227,23,47,33.6,20.7
Clare,2021,Q1,20-24,661,427,26,76,64.6,17.8
Clare,2021,Q1,25-29,456,372,18,53,81.6,14.2
Clare,2021,Q1,30-34,623,544,55,55,87.3,10.1
Clare,2021,Q2,15-19,606,202,15,42,33.3,20.8
Clare,2021,Q2,20-24,605,411,47,41,67.9,10.0
Clare,2021,Q2,25-29,497,393,39,89,79.1,22.6
Clare,2021,Q2,30-34,495,438,19,76,88.5,17.4
Clare,2021,Q3,15-19,410,143,6,31,34.9,21.7
Clare,2021,Q3,20-24,542,363,33,63,67.0,17.4
Clare,2021,Q3,25-29,629,491,20,66,78.1,13.4
Clare,2021,Q3,30-34,439,392,23,33,89.3,8.4
Clare,2021,Q4,15-19,640,217,25,32,33.9,14.7
Clare,2021,Q4,20-24,598,414,34,87,69.2,21.0
Clare,2021,Q4,25-29,437,347,16,65,79.4,18.7
Clare,2021,Q4,30-34,410,346,37,79,84.4,22.8
Clare,2022,Q1,15-19,619,230,26,35,37.2,15.2
Clare,2022,Q1,20-24,441,318,19,76,72.1,23.9
Clare,2022,Q1,25-29,528,457,44,92,86.6,20.1
Clare,2022,Q1,30-34,481,436,40,63,90.6,14.4
Clare,2022,Q2,15-19,535,200,16,22,37.4,11.0
Clare,2022,Q2,20-24,554,392,29,66,70.8,16.8
Clare,2022,Q2,25-29,499,443,22,41,88.8,9.3
Clare,2022,Q2,30-34,588,559,57,90,95.1,16.1
Clare,2022,Q3,15-19,502,189,16,23,37.6,12.2
Clare,2022,Q3,20-24,660,469,37,45,71.1,9.6
Clare,2022,Q3,25-29,650,560,58,76,86.2,13.6
Clare,2022,Q3,30-34,435,409,38,60,94.0,14.7
Clare,2022,Q4,15-19,647,244,15,47,37.7,19.3
Clare,2022,Q4,20-24,450,338,33,68,75.1,20.1
Clare,2022,Q4,25-29,676,581,69,63,85.9,10.8
Clare,2022,Q4,30-34,695,654,37,92,94.1,14.1
Clare,2023,Q1,15-19,520,195,15,20,37.5,10.3
Clare,2023,Q1,20-24,694,497,35,55,71.6,11.1
Clare,2023,Q1,25-29,444,402,41,48,90.5,11.9
Clare,2023,Q1,30-34,613,569,51,114,92.8,20.0
Clare,2023,Q2,15-19,404,159,7,27,39.4,17.0
Clare,2023,Q2,20-24,584,447,51,84,76.5,18.8
Clare,2023,Q2,25-29,441,389,40,39,88.2,10.0
Clare,2023,Q2,30-34,441,424,37,90,96.1,21.2
Clare,2023,Q3,15-19,657,241,12,38,36.7,15.8
Clare,2023,Q3,20-24,405,294,15,66,72.6,22.4
Clare,2023,Q3,25-29,460,405,31,83,88.0,20.5
Clare,2023,Q3,30-34,554,538,42,95,97.1,17.7
Clare,2023,Q4,15-19,674,267,31,51,39.6,19.1
Clare,2023,Q4,20-24,417,302,22,36,72.4,11.9
Clare,2023,Q4,25-29,565,491,57,76,86.9,15.5
Clare,2023,Q4,30-34,411,391,26,58,95.1,14.8
Clare,2024,Q1,15-19,665,257,21,44,38.6,17.1
Clare,2024,Q1,20-24,609,441,31,83,72.4,18.8
Clare,2024,Q1,25-29,567,531,39,72,93.7,13.6
Clare,2024,Q1,30-34,585,560,38,86,95.7,15.4
Clare,2024,Q2,15-19,664,260,25,29,39.2,11.2
Clare,2024,Q2,20-24,659,492,43,95,74.7,19.3
Clare,2024,Q2,25-29,662,624,33,143,94.3,22.9
Clare,2024,Q2,30-34,676,645,70,105,95.4,16.3
Clare,2024,Q3,15-19,651,254,23,27,39.0,10.6
Clare,2024,Q3,20-24,472,352,41,47,74.6,13.4
Clare,2024,Q3,25-29,514,448,39,84,87.2,18.8
Clare,2024,Q3,30-34,550,524,30,122,95.3,23.3
Clare,2024,Q4,15-19,534,204,15,40,38.2,19.6
Clare,2024,Q4,20-24,580,434,25,83,74.8,19.1
Clare,2024,Q4,25-29,656,584,40,89,89.0,15.2
Clare,2024,Q4,30-34,453,450,41,75,99.3,16.7
Clare,2025,Q1,15-19,648,259,19,61,40.0,23.6
Clare,2025,Q1,20-24,525,389,23,40,74.1,10.3
Clare,2025,Q1,25-29,655,591,26,117,90.2,19.8
Clare,2025,Q1,30-34,417,411,47,60,98.6,14.6
Clare,2025,Q2,15-19,502,200,14,34,39.8,17.0
Clare,2025,Q2,20-24,525,386,44,76,73.5,19.7
Clare,2025,Q2,25-29,492,457,27,82,92.9,17.9
Clare,2025,Q2,30-34,613,608,30,70,99.2,11.5
Clare,2025,Q3,15-19,553,221,12,45,40.0,20.4
Clare,2025,Q3,20-24,570,422,39,70,74.0,16.6
Clare,2025,Q3,25-29,658,630,38,127,95.7,20.2
Clare,2025,Q3,30-34,459,470,44,82,102.4,17.4
Clare,2025,Q4,15-19,472,190,20,41,40.3,21.6
Clare,2025,Q4,20-24,572,444,41,57,77.6,12.8
Clare,2025,Q4,25-29,426,398,34,60,93.4,15.1
Clare,2025,Q4,30-34,687,706,51,167,102.8,23.7
Cork,2018,Q1,15-19,3044,1030,64,98,33.8,9.5
Cork,2018,Q1,20-24,2596,1802,205,254,69.4,14.1
Cork,2018,Q1,25-29,2818,2359,244,332,83.7,14.1
Cork,2018,Q1,30-34,2486,2165,138,369,87.1,17.0
Cork,2018,Q2,15-19,1900,657,47,116,34.6,17.7
Cork,2018,Q2,20-24,2798,1917,160,272,68.5,14.2
Cork,2018,Q2,25-29,1982,1569,138,272,79.2,17.3
Cork,2018,Q2,30-34,1764,1557,180,309,88.3,19.8
Cork,2018,Q3,15-19,2244,775,54,105,34.5,13.5
Cork,2018,Q3,20-24,2402,1600,125,216,66.6,13.5
Cork,2018,Q3,25-29,2512,2111,205,451,84.0,21.4
Cork,2018,Q3,30-34,1804,1548,62,264,85.8,17.1
Cork,2018,Q4,15-19,2030,736,67,98,36.3,13.3
Cork,2018,Q4,20-24,2470,1737,118,163,70.3,9.4
Cork,2018,Q4,25-29,2578,2077,134,399,80.6,19.2
Cork,2018,Q4,30-34,2398,2123,100,383,88.5,18.0
Cork,2019,Q1,15-19,1762,616,45,61,35.0,9.9
Cork,2019,Q1,20-24,2767,1857,201,365,67.1,19.7
Cork,2019,Q1,25-29,2107,1788,86,292,84.9,16.3
Cork,2019,Q1,30-34,2413,2233,165,210,92.5,9.4
Cork,2019,Q2,15-19,2604,918,75,90,35.3,9.8
Cork,2019,Q2,20-24,2068,1443,152,301,69.8,20.9
Cork,2019,Q2,25-29,1815,1480,131,208,81.5,14.1
Cork,2019,Q2,30-34,3042,2783,235,330,91.5,11.9
Cork,2019,Q3,15-19,3033,1061,112,151,35.0,14.2
Cork,2019,Q3,20-24,2202,1562,158,161,70.9,10.3
Cork,2019,Q3,25-29,2723,2288,122,429,84.0,18.8
Cork,2019,Q3,30-34,2255,2015,166,216,89.4,10.7
Cork,2019,Q4,15-19,2679,962,80,110,35.9,11.4
Cork,2019,Q4,20-24,3055,2137,95,218,70.0,10.2
Cork,2019,Q4,25-29,2461,1994,190,279,81.0,14.0
Cork,2019,Q4,30-34,2580,2301,225,193,89.2,8.4
Cork,2020,Q1,15-19,2373,734,35,139,30.9,18.9
Cork,2020,Q1,20-24,2976,1904,193,234,64.0,12.3
Cork,2020,Q1,25-29,2534,1908,137,263,75.3,13.8
Cork,2020,Q1,30-34,1911,1515,69,242,79.3,16.0
Cork,2020,Q2,15-19,2895,891,81,110,30.8,12.3
Cork,2020,Q2,20-24,2994,1882,110,284,62.9,15.1
Cork,2020,Q2,25-29,2510,1901,227,344,75.7,18.1
Cork,2020,Q2,30-34,2217,1849,139,245,83.4,13.3
Cork,2020,Q3,15-19,2730,903,48,167,33.1,18.5
Cork,2020,Q3,20-24,2442,1518,72,228,62.2,15.0
Cork,2020,Q3,25-29,1784,1317,122,264,73.8,20.0
Cork,2020,Q3,30-34,2950,2316,166,246,78.5,10.6
Cork,2020,Q4,15-19,2895,941,95,112,32.5,11.9
Cork,2020,Q4,20-24,2387,1482,133,143,62.1,9.6
Cork,2020,Q4,25-29,2112,1592,128,171,75.4,10.7
Cork,2020,Q4,30-34,2877,2222,142,272,77.2,12.2
Cork,2021,Q1,15-19,3029,1040,70,126,34.3,12.1
Cork,2021,Q1,20-24,2745,1820,130,279,66.3,15.3
Cork,2021,Q1,25-29,2189,1831,96,374,83.6,20.4
Cork,2021,Q1,30-34,2072,1877,202,220,90.6,11.7
Cork,2021,Q2,15-19,2283,785,65,141,34.4,18.0
