county,year,official_employed_u27,official_self_emp_u27,avg_employment_rate_u27
Dublin,2021,10165.25,1697.5,60.675000000000004
Dublin,2022,11406.25,1943.25,66.76666666666667
Dublin,2023,10854.75,1912.0,67.61666666666667
Dublin,2024,11459.75,2297.25,68.80833333333334
Dublin,2025,10478.0,1758.75,69.66666666666667
Galway,2018,2632.0,381.5,61.633333333333326
Galway,2019,2565.5,416.5,61.833333333333336
Galway,2020,2285.25,391.0,55.583333333333336
Galway,2021,2399.75,399.5,60.31666666666666
Galway,2022,2585.75,413.25,64.93333333333334
Galway,2023,2771.25,492.5,66.88333333333334
Galway,2024,3145.25,611.25,68.14166666666667
Galway,2025,3142.0,505.25,70.65833333333333
Kerry,2018,1236.75,214.5,62.291666666666664
Kerry,2019,1190.5,178.75,62.48333333333333
Kerry,2020,1063.0,171.75,55.9
Kerry,2021,1125.25,189.0,60.86666666666667
Kerry,2022,1233.25,199.0,65.63333333333334
Kerry,2023,1259.25,214.25,66.73333333333333
Kerry,2024,1350.75,226.5,68.825
Kerry,2025,1413.0,263.5,68.95833333333333
Kildare,2018,2059.0,234.25,61.05833333333334
Kildare,2019,1989.25,315.25,62.78333333333334
Kildare,2020,1853.75,283.0,56.40833333333333
Kildare,2021,2079.0,353.0,60.775
Kildare,2022,2254.0,406.5,65.15833333333335
Kildare,2023,2172.0,358.0,67.21666666666667
Kildare,2024,2414.0,402.75,68.23333333333333
Kildare,2025,2073.5,322.0,69.08333333333333
Kilkenny,2018,1003.0,152.5,62.11666666666667
Kilkenny,2019,1024.5,150.0,62.224999999999994
Kilkenny,2020,915.25,126.5,55.74166666666667
Kilkenny,2021,963.75,156.0,61.85
Kilkenny,2022,1144.25,207.5,65.30833333333334
Kilkenny,2023,1131.5,215.0,66.83333333333333
Kilkenny,2024,1202.25,195.5,68.47500000000001
Kilkenny,2025,1065.5,177.5,69.45833333333333
Laois,2018,603.5,91.75,61.71666666666666
Laois,2019,629.75,96.0,63.46666666666667
Laois,2020,584.75,80.25,55.73333333333333
Laois,2021,606.25,94.0,61.04999999999999
Laois,2022,652.5,121.25,65.77499999999999
Laois,2023,719.75,100.5,67.35833333333333
Laois,2024,691.0,126.25,67.69166666666666
Laois,2025,697.5,120.0,69.74166666666666
Leitrim,2018,403.0,52.5,60.65
Leitrim,2019,415.25,58.5,62.61666666666667
Leitrim,2020,383.5,58.75,56.416666666666664
Leitrim,2021,407.5,72.25,60.975
Leitrim,2022,426.5,69.75,65.925
Leitrim,2023,450.5,74.0,66.94166666666666
Leitrim,2024,476.5,90.75,67.325
Leitrim,2025,441.75,72.5,69.425
Limerick,2018,1973.5,322.0,61.81666666666666
Limerick,2019,1923.0,249.5,62.508333333333326
Limerick,2020,1703.0,279.75,56.1
Limerick,2021,1828.75,228.5,60.775
Limerick,2022,1913.75,292.25,65.0
Limerick,2023,1929.25,345.5,67.85833333333333
Limerick,2024,1974.5,317.0,67.425
Limerick,2025,2224.25,439.5,69.925
Longford,2018,424.75,47.5,61.95000000000001
Longford,2019,401.0,55.25,62.35
Longford,2020,367.0,61.0,56.525
Longford,2021,384.25,68.5,60.583333333333336
Longford,2022,438.25,70.25,66.70833333333333
Longford,2023,435.5,66.75,66.44166666666666
Longford,2024,456.5,82.0,67.83333333333333
Longford,2025,467.0,85.25,69.39999999999999
Louth,2018,1386.5,204.25,60.616666666666674
Louth,2019,1526.5,274.5,63.01666666666667
Louth,2020,1368.5,203.75,56.475
Louth,2021,1428.75,202.75,61.324999999999996
Louth,2022,1597.5,269.25,65.98333333333333
Louth,2023,1546.75,266.75,67.5
Louth,2024,1595.5,303.25,68.77499999999999
Louth,2025,1663.0,268.75,69.70833333333333
Mayo,2018,1075.5,155.75,61.458333333333336
Mayo,2019,1082.75,189.25,63.041666666666664
Mayo,2020,932.75,163.0,55.775
Mayo,2021,953.25,145.75,60.883333333333326
Mayo,2022,1107.25,184.0,65.875
Mayo,2023,1115.5,174.0,66.58333333333333
Mayo,2024,1177.0,206.5,68.68333333333334
Mayo,2025,1123.5,195.25,69.24166666666667
Meath,2018,1834.75,271.0,62.06666666666666
Meath,2019,1873.0,268.5,63.583333333333336
Meath,2020,1740.5,281.75,55.82500000000001
Meath,2021,1659.25,275.75,60.75833333333333
Meath,2022,1888.0,302.25,65.11666666666666
Meath,2023,1897.5,315.0,67.125
Meath,2024,2129.5,339.0,67.925
Meath,2025,1984.25,325.75,68.70833333333333
Monaghan,2018,596.5,82.5,61.76666666666667
Monaghan,2019,601.0,94.25,61.991666666666674
Monaghan,2020,573.0,89.25,56.15
Monaghan,2021,538.75,69.25,59.89166666666667
Monaghan,2022,676.0,111.5,65.375
Monaghan,2023,677.25,115.0,66.60833333333333
Monaghan,2024,687.25,122.25,67.95
Monaghan,2025,691.0,114.75,68.75833333333333
Offaly,2018,805.75,133.0,61.49166666666667
Offaly,2019,880.75,128.75,62.458333333333336
Offaly,2020,724.5,118.25,55.73333333333334
Offaly,2021,879.25,141.25,61.6
Offaly,2022,851.75,144.0,65.675
Offaly,2023,892.0,126.5,66.80833333333334
Offaly,2024,863.25,164.5,68.64166666666667
Offaly,2025,866.25,145.25,69.375
Roscommon,2018,553.25,64.25,61.69999999999999
Roscommon,2019,662.0,91.75,63.15
Roscommon,2020,580.0,92.25,56.14166666666667
Roscommon,2021,603.5,80.0,60.57500000000001
Roscommon,2022,634.5,106.75,65.7
Roscommon,2023,694.25,118.0,67.01666666666667
Roscommon,2024,728.0,133.25,68.63333333333334
Roscommon,2025,651.0,123.5,69.36666666666666
Sligo,2018,599.75,93.0,61.050000000000004
Sligo,2019,577.25,95.5,62.30833333333334
Sligo,2020,503.75,63.0,56.00833333333333
Sligo,2021,589.5,94.75,60.208333333333336
Sligo,2022,612.0,104.0,65.71666666666665
Sligo,2023,691.0,94.0,67.68333333333332
Sligo,2024,712.75,118.0,67.03333333333333
Sligo,2025,659.25,120.75,69.11666666666666
Tipperary,2018,1159.0,182.25,61.89166666666667
Tipperary,2019,1232.0,200.75,62.53333333333333
Tipperary,2020,1150.5,195.5,56.30833333333334
Tipperary,2021,1255.25,214.25,61.59166666666666
Tipperary,2022,1274.75,217.25,65.90833333333333
Tipperary,2023,1285.5,203.25,67.66666666666667
Tipperary,2024,1226.25,198.0,68.27499999999999
Tipperary,2025,1422.0,245.0,69.0
Waterford,2018,1362.0,218.5,61.61666666666667
Waterford,2019,1488.5,213.75,62.400000000000006
Waterford,2020,1287.0,217.0,56.449999999999996
Waterford,2021,1347.0,211.5,61.29999999999999
Waterford,2022,1370.75,219.75,65.65833333333335
Waterford,2023,1526.0,265.5,66.875
Waterford,2024,1592.5,259.5,67.89999999999999
Waterford,2025,1618.25,268.75,69.65833333333333
Westmeath,2018,757.75,125.0,61.791666666666664
Westmeath,2019,807.75,105.0,63.23333333333333
Westmeath,2020,725.5,112.25,56.09166666666667
Westmeath,2021,751.75,128.75,61.125
Westmeath,2022,714.25,128.25,65.50833333333333
Westmeath,2023,874.0,146.5,67.16666666666667
Westmeath,2024,884.75,146.0,68.05833333333334
Westmeath,2025,950.25,176.25,69.83333333333333
Wexford,2018,1213.0,174.25,61.800000000000004
Wexford,2019,1337.0,182.25,63.116666666666674
Wexford,2020,1117.0,161.5,55.833333333333336
Wexford,2021,1210.75,156.25,60.96666666666667
Wexford,2022,1332.25,240.25,66.2
Wexford,2023,1498.75,242.0,67.71666666666667
Wexford,2024,1450.25,230.0,68.25
Wexford,2025,1299.75,231.0,69.5
Wicklow,2018,1587.5,235.0,61.51666666666666
Wicklow,2019,1717.75,228.5,63.625
Wicklow,2020,1540.0,236.5,56.15833333333333
Wicklow,2021,1479.5,241.75,60.833333333333336
Wicklow,2022,1716.5,301.25,66.45833333333333
Wicklow,2023,1659.75,263.5,67.60833333333333
Wicklow,2024,1778.0,263.5,68.26666666666667
Wicklow,2025,1980.0,316.0,69.375
