county,year,official_employed_u27,official_self_emp_u27,avg_employment_rate_u27,estimated_platform_workers,platform_share_pct,median_platform_income_eur,top_platform,total_cases,worker_wins,misclass_cases,worker_win_rate,deprivation_score,deprivation_category,urbanisation_rate,estimated_true_gig_workers,hidden_work_gap_pct,gap_score,risk_category,gig_yoy_growth
Clare,2021,1001.75,173.0,60.21666666666666,25,29.6,5353,Deliveroo,1,1,0,100.0,28.4,Marginally below average,38.0,62,6.2,31.6,Medium,-22.5
Clare,2022,1105.25,163.5,65.54166666666667,29,35.2,10135,Airbnb,0,0,0,0.0,28.4,Marginally below average,38.0,72,6.5,34.2,Medium,16.1
Clare,2023,1022.25,155.75,66.65833333333335,51,37.4,12632,Upwork,1,0,1,0.0,28.4,Marginally below average,38.0,128,12.5,85.5,Critical,77.8
Clare,2024,1220.25,209.0,67.97500000000001,37,42.5,6384,Fiverr,0,0,0,0.0,28.4,Marginally below average,38.0,92,7.5,42.7,Medium,-28.1
Clare,2025,1146.75,202.5,69.29166666666667,39,47.2,13561,Deliveroo,3,0,2,0.0,28.4,Marginally below average,38.0,98,8.5,51.3,High,6.5
Cork,2018,4592.5,694.0,61.791666666666664,95,19.3,11337,Fiverr,3,1,1,33.3,22.4,Marginally above average,72.0,238,5.2,23.1,Low,
Cork,2019,4526.5,666.25,62.53333333333333,114,20.3,9246,TaskRabbit,3,1,1,33.3,22.4,Marginally above average,72.0,285,6.3,32.5,Medium,19.7
Cork,2020,4243.25,614.75,56.55833333333334,77,25.2,9509,Deliveroo,2,2,2,100.0,22.4,Marginally above average,72.0,192,4.5,17.1,Low,-32.6
Cork,2021,4261.0,753.75,61.125,138,31.9,14383,JustEat,11,5,5,45.5,22.4,Marginally above average,72.0,345,8.1,47.9,Medium,79.7
Cork,2022,4951.75,713.25,65.56666666666666,166,33.8,15657,Deliveroo,6,2,3,33.3,22.4,Marginally above average,72.0,415,8.4,50.4,High,20.3
Cork,2023,4934.0,870.75,65.94166666666666,126,36.8,6176,JustEat,6,3,3,50.0,22.4,Marginally above average,72.0,315,6.4,33.3,Medium,-24.1
Cork,2024,5138.5,882.5,68.78333333333335,197,42.3,16434,TaskRabbit,1,1,0,100.0,22.4,Marginally above average,72.0,492,9.6,60.7,High,56.2
Cork,2025,4969.25,860.75,69.24166666666666,117,44.5,15682,Deliveroo,7,3,2,42.9,22.4,Marginally above average,72.0,292,5.9,29.1,Medium,-40.7
Donegal,2018,1077.25,152.0,61.708333333333336,20,16.6,10746,Deliveroo,1,0,0,0.0,38.6,Very disadvantaged,22.0,50,4.6,17.9,Low,
Donegal,2019,1084.25,147.0,63.275,26,22.9,6722,Bolt,0,0,0,0.0,38.6,Very disadvantaged,22.0,65,6.0,29.9,Medium,30.0
Donegal,2020,948.75,150.5,56.208333333333336,22,25.8,13563,Deliveroo,2,2,2,100.0,38.6,Very disadvantaged,22.0,55,5.8,28.2,Medium,-15.4
Donegal,2021,1024.25,150.75,60.80833333333334,42,31.8,5294,Bolt,0,0,0,0.0,38.6,Very disadvantaged,22.0,105,10.3,66.7,High,90.9
Donegal,2022,1094.0,166.0,66.39999999999999,22,34.1,6165,Deliveroo,1,0,0,0.0,38.6,Very disadvantaged,22.0,55,5.0,21.4,Low,-47.6
Donegal,2023,1136.0,158.25,66.69166666666666,23,39.8,13010,TaskRabbit,1,1,1,100.0,38.6,Very disadvantaged,22.0,58,5.1,22.2,Low,5.5
Donegal,2024,1036.0,165.0,68.52499999999999,41,41.9,12009,Fiverr,2,1,2,50.0,38.6,Very disadvantaged,22.0,102,9.8,62.4,High,75.9
Donegal,2025,1138.0,194.5,69.33333333333333,44,47.8,10001,Deliveroo,2,1,0,50.0,38.6,Very disadvantaged,22.0,110,9.7,61.5,High,7.8
Dublin,2018,10884.75,1625.5,61.775,140,19.9,13876,Deliveroo,4,0,1,0.0,18.2,Affluent,95.0,350,3.2,6.0,Low,
Dublin,2019,10031.5,1475.25,61.699999999999996,292,22.9,7033,TaskRabbit,7,2,4,28.6,18.2,Affluent,95.0,730,7.3,41.0,Medium,108.6
Dublin,2020,8792.0,1579.5,56.666666666666664,184,24.7,14643,Fiverr,10,3,3,30.0,18.2,Affluent,95.0,460,5.2,23.1,Low,-37.0
Dublin,2021,10165.25,1697.5,60.675000000000004,219,31.8,8061,JustEat,11,5,4,45.5,18.2,Affluent,95.0,548,5.4,24.8,Low,19.1
Dublin,2022,11406.25,1943.25,66.76666666666667,267,34.3,14502,Other,17,3,6,17.6,18.2,Affluent,95.0,668,5.9,29.1,Medium,21.9
Dublin,2023,10854.75,1912.0,67.61666666666667,441,38.5,8137,Bolt,12,2,4,16.7,18.2,Affluent,95.0,1102,10.2,65.8,High,65.0
Dublin,2024,11459.75,2297.25,68.80833333333334,410,40.8,7727,JustEat,15,5,8,33.3,18.2,Affluent,95.0,1025,8.9,54.7,High,-7.0
Dublin,2025,10478.0,1758.75,69.66666666666667,434,45.0,11217,JustEat,16,6,5,37.5,18.2,Affluent,95.0,1085,10.4,67.5,High,5.9
Galway,2018,2632.0,381.5,61.633333333333326,53,16.2,11135,Fiverr,2,1,1,50.0,26.1,Marginally below average,58.0,132,5.0,21.4,Low,
Galway,2019,2565.5,416.5,61.833333333333336,50,22.9,9359,Fiverr,2,1,0,50.0,26.1,Marginally below average,58.0,125,4.9,20.5,Low,-5.3
Galway,2020,2285.25,391.0,55.583333333333336,66,26.6,14589,Airbnb,4,2,2,50.0,26.1,Marginally below average,58.0,165,7.2,40.2,Medium,32.0
Galway,2021,2399.75,399.5,60.31666666666666,103,31.6,7023,Airbnb,2,0,1,0.0,26.1,Marginally below average,58.0,258,10.8,70.9,High,56.4
Galway,2022,2585.75,413.25,64.93333333333334,109,34.1,15142,Bolt,6,3,1,50.0,26.1,Marginally below average,58.0,272,10.5,68.4,High,5.4
Galway,2023,2771.25,492.5,66.88333333333334,117,37.3,7036,JustEat,1,1,1,100.0,26.1,Marginally below average,58.0,292,10.5,68.4,High,7.4
Galway,2024,3145.25,611.25,68.14166666666667,121,41.1,6024,Airbnb,4,1,1,25.0,26.1,Marginally below average,58.0,302,9.6,60.7,High,3.4
Galway,2025,3142.0,505.25,70.65833333333333,145,47.2,9086,Deliveroo,7,6,4,85.7,26.1,Marginally below average,58.0,362,11.5,76.9,Critical,19.9
Kerry,2018,1236.75,214.5,62.291666666666664,29,19.9,6991,Airbnb,1,0,0,0.0,33.8,Disadvantaged,31.0,72,5.8,28.2,Medium,
Kerry,2019,1190.5,178.75,62.48333333333333,33,22.2,13800,Upwork,0,0,0,0.0,33.8,Disadvantaged,31.0,82,6.9,37.6,Medium,13.9
Kerry,2020,1063.0,171.75,55.9,39,27.4,6892,Fiverr,2,2,0,100.0,33.8,Disadvantaged,31.0,98,9.2,57.3,High,19.5
Kerry,2021,1125.25,189.0,60.86666666666667,28,31.9,8002,Upwork,4,2,3,50.0,33.8,Disadvantaged,31.0,70,6.2,31.6,Medium,-28.6
Kerry,2022,1233.25,199.0,65.63333333333334,40,35.8,8249,Deliveroo,1,1,0,100.0,33.8,Disadvantaged,31.0,100,8.1,47.9,Medium,42.9
Kerry,2023,1259.25,214.25,66.73333333333333,49,39.5,8729,Airbnb,1,1,0,100.0,33.8,Disadvantaged,31.0,122,9.7,61.5,High,22.0
Kerry,2024,1350.75,226.5,68.825,64,41.4,16410,Upwork,0,0,0,0.0,33.8,Disadvantaged,31.0,160,11.8,79.5,Critical,31.1
Kerry,2025,1413.0,263.5,68.95833333333333,72,44.8,9858,Deliveroo,0,0,0,0.0,33.8,Disadvantaged,31.0,180,12.7,87.2,Critical,12.5
Kildare,2018,2059.0,234.25,61.05833333333334,42,19.6,14177,Deliveroo,2,0,1,0.0,15.3,Affluent,68.0,105,5.1,22.2,Low,
Kildare,2019,1989.25,315.25,62.78333333333334,49,21.3,9413,Deliveroo,2,1,0,50.0,15.3,Affluent,68.0,122,6.1,30.8,Medium,16.2
Kildare,2020,1853.75,283.0,56.40833333333333,50,24.8,12802,Upwork,2,0,2,0.0,15.3,Affluent,68.0,125,6.7,35.9,Medium,2.5
Kildare,2021,2079.0,353.0,60.775,73,29.5,14546,Other,2,1,1,50.0,15.3,Affluent,68.0,182,8.8,53.8,High,45.6
Kildare,2022,2254.0,406.5,65.15833333333335,62,32.1,5855,JustEat,4,3,1,75.0,15.3,Affluent,68.0,155,6.9,37.6,Medium,-14.8
Kildare,2023,2172.0,358.0,67.21666666666667,54,37.9,13397,Fiverr,2,0,1,0.0,15.3,Affluent,68.0,135,6.2,31.6,Medium,-12.9
Kildare,2024,2414.0,402.75,68.23333333333333,110,42.2,16299,Deliveroo,6,3,0,50.0,15.3,Affluent,68.0,275,11.4,76.1,Critical,103.7
Kildare,2025,2073.5,322.0,69.08333333333333,81,44.6,13682,Other,2,0,2,0.0,15.3,Affluent,68.0,202,9.7,61.5,High,-26.5
Kilkenny,2018,1003.0,152.5,62.11666666666667,13,16.4,5010,Deliveroo,0,0,0,0.0,25.6,Marginally below average,39.0,32,3.2,6.0,Low,
Kilkenny,2019,1024.5,150.0,62.224999999999994,28,21.6,13898,TaskRabbit,1,0,0,0.0,25.6,Marginally below average,39.0,70,6.8,36.8,Medium,118.8
Kilkenny,2020,915.25,126.5,55.74166666666667,22,24.7,11200,Bolt,0,0,0,0.0,25.6,Marginally below average,39.0,55,6.0,29.9,Medium,-21.4
Kilkenny,2021,963.75,156.0,61.85,42,30.8,12177,JustEat,0,0,0,0.0,25.6,Marginally below average,39.0,105,10.9,71.8,High,90.9
Kilkenny,2022,1144.25,207.5,65.30833333333334,47,35.5,6076,Other,2,0,2,0.0,25.6,Marginally below average,39.0,118,10.3,66.7,High,12.4
Kilkenny,2023,1131.5,215.0,66.83333333333333,34,37.4,15839,Upwork,1,0,0,0.0,25.6,Marginally below average,39.0,85,7.5,42.7,Medium,-28.0
Kilkenny,2024,1202.25,195.5,68.47500000000001,51,42.0,7430,JustEat,2,1,0,50.0,25.6,Marginally below average,39.0,128,10.6,69.2,High,50.6
Kilkenny,2025,1065.5,177.5,69.45833333333333,39,47.0,8797,Deliveroo,1,1,1,100.0,25.6,Marginally below average,39.0,98,9.2,57.3,High,-23.4
Laois,2018,603.5,91.75,61.71666666666666,11,17.7,5579,Deliveroo,0,0,0,0.0,29.8,Marginally below average,36.0,28,4.6,17.9,Low,
Laois,2019,629.75,96.0,63.46666666666667,15,20.5,13801,Deliveroo,0,0,0,0.0,29.8,Marginally below average,36.0,38,6.0,29.9,Medium,35.7
Laois,2020,584.75,80.25,55.73333333333333,17,25.2,12644,Deliveroo,0,0,0,0.0,29.8,Marginally below average,36.0,42,7.2,40.2,Medium,10.5
Laois,2021,606.25,94.0,61.04999999999999,20,30.1,14534,Deliveroo,1,0,0,0.0,29.8,Marginally below average,36.0,50,8.2,48.7,Medium,19.0
Laois,2022,652.5,121.25,65.77499999999999,23,34.8,10978,Bolt,0,0,0,0.0,29.8,Marginally below average,36.0,58,8.9,54.7,High,16.0
Laois,2023,719.75,100.5,67.35833333333333,27,38.9,14062,JustEat,0,0,0,0.0,29.8,Marginally below average,36.0,68,9.4,59.0,High,17.2
Laois,2024,691.0,126.25,67.69166666666666,21,43.0,10313,JustEat,0,0,0,0.0,29.8,Marginally below average,36.0,52,7.5,42.7,Medium,-23.5
Laois,2025,697.5,120.0,69.74166666666666,21,44.7,9803,Fiverr,0,0,0,0.0,29.8,Marginally below average,36.0,52,7.5,42.7,Medium,0.0
Leitrim,2018,403.0,52.5,60.65,10,19.7,7958,Deliveroo,0,0,0,0.0,40.3,Very disadvantaged,18.0,25,6.2,31.6,Medium,
Leitrim,2019,415.25,58.5,62.61666666666667,5,21.6,14495,Bolt,0,0,0,0.0,40.3,Very disadvantaged,18.0,12,2.9,3.4,Low,-52.0
Leitrim,2020,383.5,58.75,56.416666666666664,9,25.5,9042,Airbnb,0,0,0,0.0,40.3,Very disadvantaged,18.0,22,5.7,27.4,Medium,83.3
Leitrim,2021,407.5,72.25,60.975,11,31.4,15436,Bolt,0,0,0,0.0,40.3,Very disadvantaged,18.0,28,6.9,37.6,Medium,27.3
Leitrim,2022,426.5,69.75,65.925,17,35.0,9128,Fiverr,1,1,0,100.0,40.3,Very disadvantaged,18.0,42,9.8,62.4,High,50.0
Leitrim,2023,450.5,74.0,66.94166666666666,9,38.0,8024,Fiverr,0,0,0,0.0,40.3,Very disadvantaged,18.0,22,4.9,20.5,Low,-47.6
Leitrim,2024,476.5,90.75,67.325,20,43.4,7308,TaskRabbit,1,0,1,0.0,40.3,Very disadvantaged,18.0,50,10.5,68.4,High,127.3
Leitrim,2025,441.75,72.5,69.425,18,44.9,15412,Fiverr,0,0,0,0.0,40.3,Very disadvantaged,18.0,45,10.2,65.8,High,-10.0
Limerick,2018,1973.5,322.0,61.81666666666666,37,16.1,9147,JustEat,1,0,0,0.0,28.7,Marginally below average,62.0,92,4.7,18.8,Low,
Limerick,2019,1923.0,249.5,62.508333333333326,26,23.4,8433,Bolt,3,1,2,33.3,28.7,Marginally below average,62.0,65,3.4,7.7,Low,-29.3
Limerick,2020,1703.0,279.75,56.1,31,27.1,14027,Bolt,0,0,0,0.0,28.7,Marginally below average,62.0,78,4.6,17.9,Low,20.0
Limerick,2021,1828.75,228.5,60.775,36,29.1,11076,JustEat,1,1,0,100.0,28.7,Marginally below average,62.0,90,4.9,20.5,Low,15.4
Limerick,2022,1913.75,292.25,65.0,78,33.1,5866,Bolt,0,0,0,0.0,28.7,Marginally below average,62.0,195,10.2,65.8,High,116.7
Limerick,2023,1929.25,345.5,67.85833333333333,48,36.1,12820,Other,2,0,0,0.0,28.7,Marginally below average,62.0,120,6.2,31.6,Medium,-38.5
Limerick,2024,1974.5,317.0,67.425,101,42.8,16479,Other,2,0,1,0.0,28.7,Marginally below average,62.0,252,12.8,88.0,Critical,110.0
Limerick,2025,2224.25,439.5,69.925,65,44.6,13792,Upwork,2,1,0,50.0,28.7,Marginally below average,62.0,162,7.3,41.0,Medium,-35.7
Longford,2018,424.75,47.5,61.95000000000001,8,17.7,10747,Deliveroo,0,0,0,0.0,39.1,Very disadvantaged,32.0,20,4.7,18.8,Low,
Longford,2019,401.0,55.25,62.35,9,22.0,7999,Other,0,0,0,0.0,39.1,Very disadvantaged,32.0,22,5.5,25.6,Medium,10.0
Longford,2020,367.0,61.0,56.525,12,27.5,14020,Airbnb,0,0,0,0.0,39.1,Very disadvantaged,32.0,30,8.2,48.7,Medium,36.4
Longford,2021,384.25,68.5,60.583333333333336,13,28.1,9477,Deliveroo,1,0,0,0.0,39.1,Very disadvantaged,32.0,32,8.3,49.6,Medium,6.7
Longford,2022,438.25,70.25,66.70833333333333,9,33.0,12585,Deliveroo,0,0,0,0.0,39.1,Very disadvantaged,32.0,22,5.0,21.4,Low,-31.2
Longford,2023,435.5,66.75,66.44166666666666,9,39.8,14841,Deliveroo,1,0,0,0.0,39.1,Very disadvantaged,32.0,22,5.1,22.2,Low,0.0
Longford,2024,456.5,82.0,67.83333333333333,12,40.7,12333,Upwork,1,0,1,0.0,39.1,Very disadvantaged,32.0,30,6.6,35.0,Medium,36.4
Longford,2025,467.0,85.25,69.39999999999999,13,47.7,12646,Deliveroo,0,0,0,0.0,39.1,Very disadvantaged,32.0,32,6.9,37.6,Medium,6.7
Louth,2018,1386.5,204.25,60.616666666666674,33,19.4,12052,Deliveroo,1,0,0,0.0,24.5,Marginally above average,63.0,82,5.9,29.1,Medium,
Louth,2019,1526.5,274.5,63.01666666666667,31,21.8,12594,Airbnb,1,1,0,100.0,24.5,Marginally above average,63.0,78,5.1,22.2,Low,-4.9
Louth,2020,1368.5,203.75,56.475,48,27.5,9118,JustEat,1,1,1,100.0,24.5,Marginally above average,63.0,120,8.8,53.8,High,53.8
Louth,2021,1428.75,202.75,61.324999999999996,33,28.5,10859,Deliveroo,1,0,0,0.0,24.5,Marginally above average,63.0,82,5.7,27.4,Medium,-31.7
Louth,2022,1597.5,269.25,65.98333333333333,42,34.6,14973,JustEat,2,1,1,50.0,24.5,Marginally above average,63.0,105,6.6,35.0,Medium,28.0
Louth,2023,1546.75,266.75,67.5,62,37.4,6523,Bolt,1,1,0,100.0,24.5,Marginally above average,63.0,155,10.0,64.1,High,47.6
Louth,2024,1595.5,303.25,68.77499999999999,52,42.7,15453,JustEat,4,1,1,25.0,24.5,Marginally above average,63.0,130,8.1,47.9,Medium,-16.1
Louth,2025,1663.0,268.75,69.70833333333333,56,46.5,11961,Other,1,0,1,0.0,24.5,Marginally above average,63.0,140,8.4,50.4,High,7.7
Mayo,2018,1075.5,155.75,61.458333333333336,16,18.1,7674,Bolt,0,0,0,0.0,37.1,Very disadvantaged,25.0,40,3.7,10.3,Low,
Mayo,2019,1082.75,189.25,63.041666666666664,23,20.5,7148,Deliveroo,0,0,0,0.0,37.1,Very disadvantaged,25.0,58,5.4,24.8,Low,45.0
Mayo,2020,932.75,163.0,55.775,30,24.5,9445,Upwork,1,1,0,100.0,37.1,Very disadvantaged,25.0,75,8.0,47.0,Medium,29.3
Mayo,2021,953.25,145.75,60.883333333333326,23,29.4,11086,Bolt,2,1,1,50.0,37.1,Very disadvantaged,25.0,58,6.1,30.8,Medium,-22.7
Mayo,2022,1107.25,184.0,65.875,25,32.2,10569,JustEat,2,1,0,50.0,37.1,Very disadvantaged,25.0,62,5.6,26.5,Medium,6.9
Mayo,2023,1115.5,174.0,66.58333333333333,33,39.3,10485,Upwork,1,0,1,0.0,37.1,Very disadvantaged,25.0,82,7.4,41.9,Medium,32.3
Mayo,2024,1177.0,206.5,68.68333333333334,55,42.0,15236,Bolt,2,1,0,50.0,37.1,Very disadvantaged,25.0,138,11.7,78.6,Critical,68.3
Mayo,2025,1123.5,195.25,69.24166666666667,57,47.8,14684,Other,2,2,0,100.0,37.1,Very disadvantaged,25.0,142,12.6,86.3,Critical,2.9
Meath,2018,1834.75,271.0,62.06666666666666,19,17.4,12628,Deliveroo,2,0,1,0.0,16.8,Affluent,52.0,48,2.6,0.9,Low,
Meath,2019,1873.0,268.5,63.583333333333336,33,23.2,14472,Airbnb,3,0,0,0.0,16.8,Affluent,52.0,82,4.4,16.2,Low,70.8
Meath,2020,1740.5,281.75,55.82500000000001,30,26.2,7056,Bolt,3,3,1,100.0,16.8,Affluent,52.0,75,4.3,15.4,Low,-8.5
Meath,2021,1659.25,275.75,60.75833333333333,55,30.7,9812,Other,3,2,3,66.7,16.8,Affluent,52.0,138,8.3,49.6,Medium,84.0
Meath,2022,1888.0,302.25,65.11666666666666,53,34.6,5590,Upwork,2,2,1,100.0,16.8,Affluent,52.0,132,7.0,38.5,Medium,-4.3
Meath,2023,1897.5,315.0,67.125,88,36.9,14071,Fiverr,2,2,0,100.0,16.8,Affluent,52.0,220,11.6,77.8,Critical,66.7
Meath,2024,2129.5,339.0,67.925,85,41.0,9894,JustEat,4,4,0,100.0,16.8,Affluent,52.0,212,10.0,64.1,High,-3.6
Meath,2025,1984.25,325.75,68.70833333333333,47,44.1,15997,Fiverr,1,0,1,0.0,16.8,Affluent,52.0,118,5.9,29.1,Medium,-44.3
Monaghan,2018,596.5,82.5,61.76666666666667,13,19.4,12436,Bolt,2,2,1,100.0,33.7,Disadvantaged,26.0,32,5.4,24.8,Low,
Monaghan,2019,601.0,94.25,61.991666666666674,10,23.1,10325,TaskRabbit,0,0,0,0.0,33.7,Disadvantaged,26.0,25,4.2,14.5,Low,-21.9
Monaghan,2020,573.0,89.25,56.15,10,27.2,6874,Airbnb,0,0,0,0.0,33.7,Disadvantaged,26.0,25,4.4,16.2,Low,0.0
Monaghan,2021,538.75,69.25,59.89166666666667,25,31.1,6090,Deliveroo,0,0,0,0.0,33.7,Disadvantaged,26.0,62,11.5,76.9,Critical,148.0
Monaghan,2022,676.0,111.5,65.375,21,32.3,10577,JustEat,0,0,0,0.0,33.7,Disadvantaged,26.0,52,7.7,44.4,Medium,-16.1
Monaghan,2023,677.25,115.0,66.60833333333333,29,38.4,7521,Fiverr,2,1,0,50.0,33.7,Disadvantaged,26.0,72,10.6,69.2,High,38.5
Monaghan,2024,687.25,122.25,67.95,18,41.5,10150,Fiverr,1,0,1,0.0,33.7,Disadvantaged,26.0,45,6.5,34.2,Medium,-37.5
Monaghan,2025,691.0,114.75,68.75833333333333,34,44.2,7816,Fiverr,0,0,0,0.0,33.7,Disadvantaged,26.0,85,12.3,83.8,Critical,88.9
Offaly,2018,805.75,133.0,61.49166666666667,11,17.5,11666,Bolt,0,0,0,0.0,30.5,Disadvantaged,38.0,28,3.5,8.5,Low,
Offaly,2019,880.75,128.75,62.458333333333336,11,22.4,11594,Bolt,1,1,1,100.0,30.5,Disadvantaged,38.0,28,3.2,6.0,Low,0.0
Offaly,2020,724.5,118.25,55.73333333333334,22,26.6,13884,Deliveroo,0,0,0,0.0,30.5,Disadvantaged,38.0,55,7.6,43.6,Medium,96.4
Offaly,2021,879.25,141.25,61.6,27,31.8,11761,Airbnb,1,0,1,0.0,30.5,Disadvantaged,38.0,68,7.7,44.4,Medium,23.6
Offaly,2022,851.75,144.0,65.675,28,32.6,15033,Bolt,0,0,0,0.0,30.5,Disadvantaged,38.0,70,8.2,48.7,Medium,2.9
Offaly,2023,892.0,126.5,66.80833333333334,37,38.8,10674,JustEat,2,1,0,50.0,30.5,Disadvantaged,38.0,92,10.3,66.7,High,31.4
Offaly,2024,863.25,164.5,68.64166666666667,21,40.9,14941,Upwork,0,0,0,0.0,30.5,Disadvantaged,38.0,52,6.0,29.9,Medium,-43.5
Offaly,2025,866.25,145.25,69.375,44,47.1,7432,Deliveroo,1,0,1,0.0,30.5,Disadvantaged,38.0,110,12.7,87.2,Critical,111.5
Roscommon,2018,553.25,64.25,61.69999999999999,8,17.3,5814,Other,0,0,0,0.0,35.8,Disadvantaged,21.0,20,3.6,9.4,Low,
Roscommon,2019,662.0,91.75,63.15,12,21.1,9020,Deliveroo,0,0,0,0.0,35.8,Disadvantaged,21.0,30,4.5,17.1,Low,50.0
Roscommon,2020,580.0,92.25,56.14166666666667,12,25.3,12845,TaskRabbit,0,0,0,0.0,35.8,Disadvantaged,21.0,30,5.2,23.1,Low,0.0
Roscommon,2021,603.5,80.0,60.57500000000001,16,29.6,12706,Deliveroo,3,1,2,33.3,35.8,Disadvantaged,21.0,40,6.6,35.0,Medium,33.3
Roscommon,2022,634.5,106.75,65.7,15,35.0,11965,Airbnb,3,0,1,0.0,35.8,Disadvantaged,21.0,38,6.0,29.9,Medium,-5.0
Roscommon,2023,694.25,118.0,67.01666666666667,30,39.3,7556,Airbnb,0,0,0,0.0,35.8,Disadvantaged,21.0,75,10.8,70.9,High,97.4
Roscommon,2024,728.0,133.25,68.63333333333334,18,41.0,11142,Fiverr,0,0,0,0.0,35.8,Disadvantaged,21.0,45,6.2,31.6,Medium,-40.0
Roscommon,2025,651.0,123.5,69.36666666666666,19,47.3,6026,Deliveroo,0,0,0,0.0,35.8,Disadvantaged,21.0,48,7.4,41.9,Medium,6.7
Sligo,2018,599.75,93.0,61.050000000000004,13,17.2,10391,Deliveroo,1,0,0,0.0,32.4,Disadvantaged,34.0,32,5.3,23.9,Low,
Sligo,2019,577.25,95.5,62.30833333333334,15,21.4,12233,Fiverr,1,1,0,100.0,32.4,Disadvantaged,34.0,38,6.6,35.0,Medium,18.8
Sligo,2020,503.75,63.0,56.00833333333333,9,24.8,9528,Deliveroo,0,0,0,0.0,32.4,Disadvantaged,34.0,22,4.4,16.2,Low,-42.1
Sligo,2021,589.5,94.75,60.208333333333336,18,30.1,10002,Other,0,0,0,0.0,32.4,Disadvantaged,34.0,45,7.6,43.6,Medium,104.5
Sligo,2022,612.0,104.0,65.71666666666665,27,33.3,10337,Deliveroo,0,0,0,0.0,32.4,Disadvantaged,34.0,68,11.1,73.5,High,51.1
Sligo,2023,691.0,94.0,67.68333333333332,31,39.5,11706,Deliveroo,0,0,0,0.0,32.4,Disadvantaged,34.0,78,11.3,75.2,Critical,14.7
Sligo,2024,712.75,118.0,67.03333333333333,22,40.1,16562,TaskRabbit,1,0,0,0.0,32.4,Disadvantaged,34.0,55,7.7,44.4,Medium,-29.5
Sligo,2025,659.25,120.75,69.11666666666666,25,47.1,17085,Fiverr,0,0,0,0.0,32.4,Disadvantaged,34.0,62,9.4,59.0,High,12.7
