date,term,interest,year,month
2019-09-01,Fiverr Ireland,34,2019,9
2019-09-01,side hustle Ireland,35,2019,9
2019-09-01,zero hours contract Ireland,41,2019,9
2019-09-01,gig work Ireland,41,2019,9
2019-10-01,Deliveroo Ireland,36,2019,10
2019-10-01,Fiverr Ireland,32,2019,10
2019-10-01,side hustle Ireland,32,2019,10
2019-10-01,zero hours contract Ireland,28,2019,10
2019-10-01,gig work Ireland,39,2019,10
2019-11-01,Deliveroo Ireland,37,2019,11
2019-11-01,Fiverr Ireland,40,2019,11
2019-11-01,side hustle Ireland,39,2019,11
2019-11-01,zero hours contract Ireland,34,2019,11
2019-11-01,gig work Ireland,33,2019,11
2019-12-01,Deliveroo Ireland,40,2019,12
2019-12-01,Fiverr Ireland,45,2019,12
2019-12-01,side hustle Ireland,42,2019,12
2019-12-01,zero hours contract Ireland,33,2019,12
2019-12-01,gig work Ireland,37,2019,12
2020-01-01,Deliveroo Ireland,60,2020,1
2020-01-01,Fiverr Ireland,62,2020,1
2020-01-01,side hustle Ireland,64,2020,1
2020-01-01,zero hours contract Ireland,62,2020,1
2020-01-01,gig work Ireland,60,2020,1
2020-02-01,Deliveroo Ireland,64,2020,2
2020-02-01,Fiverr Ireland,66,2020,2
2020-02-01,side hustle Ireland,68,2020,2
2020-02-01,zero hours contract Ireland,64,2020,2
2020-02-01,gig work Ireland,60,2020,2
2020-03-01,Deliveroo Ireland,67,2020,3
2020-03-01,Fiverr Ireland,64,2020,3
2020-03-01,side hustle Ireland,69,2020,3
2020-03-01,zero hours contract Ireland,75,2020,3
2020-03-01,gig work Ireland,61,2020,3
2020-04-01,Deliveroo Ireland,73,2020,4
2020-04-01,Fiverr Ireland,69,2020,4
2020-04-01,side hustle Ireland,72,2020,4
2020-04-01,zero hours contract Ireland,65,2020,4
2020-04-01,gig work Ireland,60,2020,4
2020-05-01,Deliveroo Ireland,66,2020,5
2020-05-01,Fiverr Ireland,72,2020,5
2020-05-01,side hustle Ireland,59,2020,5
2020-05-01,zero hours contract Ireland,60,2020,5
2020-05-01,gig work Ireland,68,2020,5
2020-06-01,Deliveroo Ireland,59,2020,6
2020-06-01,Fiverr Ireland,70,2020,6
2020-06-01,side hustle Ireland,65,2020,6
2020-06-01,zero hours contract Ireland,58,2020,6
2020-06-01,gig work Ireland,59,2020,6
2020-07-01,Deliveroo Ireland,56,2020,7
2020-07-01,Fiverr Ireland,58,2020,7
2020-07-01,side hustle Ireland,60,2020,7
2020-07-01,zero hours contract Ireland,59,2020,7
2020-07-01,gig work Ireland,53,2020,7
2020-08-01,Deliveroo Ireland,61,2020,8
2020-08-01,Fiverr Ireland,55,2020,8
2020-08-01,side hustle Ireland,51,2020,8
2020-08-01,zero hours contract Ireland,54,2020,8
2020-08-01,gig work Ireland,61,2020,8
2020-09-01,Deliveroo Ireland,57,2020,9
2020-09-01,Fiverr Ireland,57,2020,9
2020-09-01,side hustle Ireland,50,2020,9
2020-09-01,zero hours contract Ireland,56,2020,9
2020-09-01,gig work Ireland,61,2020,9
2020-10-01,Deliveroo Ireland,49,2020,10
2020-10-01,Fiverr Ireland,56,2020,10
2020-10-01,side hustle Ireland,61,2020,10
2020-10-01,zero hours contract Ireland,58,2020,10
2020-10-01,gig work Ireland,52,2020,10
2020-11-01,Deliveroo Ireland,63,2020,11
2020-11-01,Fiverr Ireland,55,2020,11
2020-11-01,side hustle Ireland,57,2020,11
2020-11-01,zero hours contract Ireland,57,2020,11
2020-11-01,gig work Ireland,69,2020,11
2020-12-01,Deliveroo Ireland,58,2020,12
2020-12-01,Fiverr Ireland,58,2020,12
2020-12-01,side hustle Ireland,67,2020,12
2020-12-01,zero hours contract Ireland,67,2020,12
2020-12-01,gig work Ireland,64,2020,12
2021-01-01,Deliveroo Ireland,71,2021,1
2021-01-01,Fiverr Ireland,65,2021,1
2021-01-01,side hustle Ireland,71,2021,1
2021-01-01,zero hours contract Ireland,72,2021,1
2021-01-01,gig work Ireland,77,2021,1
2021-02-01,Deliveroo Ireland,84,2021,2
2021-02-01,Fiverr Ireland,73,2021,2
2021-02-01,side hustle Ireland,68,2021,2
2021-02-01,zero hours contract Ireland,76,2021,2
2021-02-01,gig work Ireland,74,2021,2
2021-03-01,Deliveroo Ireland,75,2021,3
2021-03-01,Fiverr Ireland,68,2021,3
2021-03-01,side hustle Ireland,77,2021,3
2021-03-01,zero hours contract Ireland,78,2021,3
2021-03-01,gig work Ireland,81,2021,3
2021-04-01,Deliveroo Ireland,73,2021,4
2021-04-01,Fiverr Ireland,72,2021,4
2021-04-01,side hustle Ireland,73,2021,4
2021-04-01,zero hours contract Ireland,81,2021,4
2021-04-01,gig work Ireland,83,2021,4
2021-05-01,Deliveroo Ireland,79,2021,5
2021-05-01,Fiverr Ireland,77,2021,5
2021-05-01,side hustle Ireland,74,2021,5
2021-05-01,zero hours contract Ireland,74,2021,5
2021-05-01,gig work Ireland,75,2021,5
2021-06-01,Deliveroo Ireland,69,2021,6
2021-06-01,Fiverr Ireland,75,2021,6
2021-06-01,side hustle Ireland,62,2021,6
2021-06-01,zero hours contract Ireland,63,2021,6
2021-06-01,gig work Ireland,62,2021,6
2021-07-01,Deliveroo Ireland,63,2021,7
2021-07-01,Fiverr Ireland,74,2021,7
2021-07-01,side hustle Ireland,61,2021,7
2021-07-01,zero hours contract Ireland,61,2021,7
2021-07-01,gig work Ireland,63,2021,7
2021-08-01,Deliveroo Ireland,71,2021,8
2021-08-01,Fiverr Ireland,72,2021,8
2021-08-01,side hustle Ireland,70,2021,8
2021-08-01,zero hours contract Ireland,70,2021,8
2021-08-01,gig work Ireland,73,2021,8
2021-09-01,Deliveroo Ireland,56,2021,9
2021-09-01,Fiverr Ireland,59,2021,9
2021-09-01,side hustle Ireland,61,2021,9
2021-09-01,zero hours contract Ireland,65,2021,9
2021-09-01,gig work Ireland,65,2021,9
2021-10-01,Deliveroo Ireland,67,2021,10
2021-10-01,Fiverr Ireland,71,2021,10
2021-10-01,side hustle Ireland,57,2021,10
2021-10-01,zero hours contract Ireland,66,2021,10
2021-10-01,gig work Ireland,68,2021,10
2021-11-01,Deliveroo Ireland,69,2021,11
2021-11-01,Fiverr Ireland,71,2021,11
2021-11-01,side hustle Ireland,75,2021,11
2021-11-01,zero hours contract Ireland,70,2021,11
2021-11-01,gig work Ireland,81,2021,11
2021-12-01,Deliveroo Ireland,80,2021,12
2021-12-01,Fiverr Ireland,76,2021,12
2021-12-01,side hustle Ireland,77,2021,12
2021-12-01,zero hours contract Ireland,79,2021,12
2021-12-01,gig work Ireland,83,2021,12
2022-01-01,Deliveroo Ireland,66,2022,1
2022-01-01,Fiverr Ireland,62,2022,1
2022-01-01,side hustle Ireland,56,2022,1
2022-01-01,zero hours contract Ireland,62,2022,1
2022-01-01,gig work Ireland,63,2022,1
2022-02-01,Deliveroo Ireland,67,2022,2
2022-02-01,Fiverr Ireland,60,2022,2
2022-02-01,side hustle Ireland,67,2022,2
2022-02-01,zero hours contract Ireland,67,2022,2
2022-02-01,gig work Ireland,57,2022,2
2022-03-01,Deliveroo Ireland,59,2022,3
2022-03-01,Fiverr Ireland,71,2022,3
2022-03-01,side hustle Ireland,61,2022,3
2022-03-01,zero hours contract Ireland,73,2022,3
2022-03-01,gig work Ireland,64,2022,3
2022-04-01,Deliveroo Ireland,66,2022,4
2022-04-01,Fiverr Ireland,66,2022,4
2022-04-01,side hustle Ireland,61,2022,4
2022-04-01,zero hours contract Ireland,71,2022,4
2022-04-01,gig work Ireland,63,2022,4
2022-05-01,Deliveroo Ireland,62,2022,5
2022-05-01,Fiverr Ireland,52,2022,5
2022-05-01,side hustle Ireland,55,2022,5
2022-05-01,zero hours contract Ireland,68,2022,5
2022-05-01,gig work Ireland,62,2022,5
2022-06-01,Deliveroo Ireland,56,2022,6
2022-06-01,Fiverr Ireland,56,2022,6
2022-06-01,side hustle Ireland,61,2022,6
2022-06-01,zero hours contract Ireland,65,2022,6
2022-06-01,gig work Ireland,56,2022,6
2022-07-01,Deliveroo Ireland,61,2022,7
2022-07-01,Fiverr Ireland,54,2022,7
2022-07-01,side hustle Ireland,58,2022,7
2022-07-01,zero hours contract Ireland,46,2022,7
2022-07-01,gig work Ireland,47,2022,7
2022-08-01,Deliveroo Ireland,57,2022,8
2022-08-01,Fiverr Ireland,54,2022,8
2022-08-01,side hustle Ireland,55,2022,8
2022-08-01,zero hours contract Ireland,47,2022,8
2022-08-01,gig work Ireland,51,2022,8
2022-09-01,Deliveroo Ireland,44,2022,9
2022-09-01,Fiverr Ireland,48,2022,9
2022-09-01,side hustle Ireland,52,2022,9
2022-09-01,zero hours contract Ireland,54,2022,9
2022-09-01,gig work Ireland,49,2022,9
2022-10-01,Deliveroo Ireland,57,2022,10
2022-10-01,Fiverr Ireland,54,2022,10
2022-10-01,side hustle Ireland,53,2022,10
2022-10-01,zero hours contract Ireland,54,2022,10
2022-10-01,gig work Ireland,64,2022,10
2022-11-01,Deliveroo Ireland,57,2022,11
2022-11-01,Fiverr Ireland,62,2022,11
2022-11-01,side hustle Ireland,60,2022,11
2022-11-01,zero hours contract Ireland,56,2022,11
2022-11-01,gig work Ireland,50,2022,11
2022-12-01,Deliveroo Ireland,59,2022,12
2022-12-01,Fiverr Ireland,62,2022,12
2022-12-01,side hustle Ireland,61,2022,12
2022-12-01,zero hours contract Ireland,68,2022,12
2022-12-01,gig work Ireland,58,2022,12
2023-01-01,Deliveroo Ireland,66,2023,1
2023-01-01,Fiverr Ireland,69,2023,1
2023-01-01,side hustle Ireland,65,2023,1
2023-01-01,zero hours contract Ireland,71,2023,1
2023-01-01,gig work Ireland,61,2023,1
2023-02-01,Deliveroo Ireland,62,2023,2
2023-02-01,Fiverr Ireland,69,2023,2
2023-02-01,side hustle Ireland,70,2023,2
2023-02-01,zero hours contract Ireland,71,2023,2
2023-02-01,gig work Ireland,71,2023,2
2023-03-01,Deliveroo Ireland,70,2023,3
2023-03-01,Fiverr Ireland,64,2023,3
2023-03-01,side hustle Ireland,71,2023,3
2023-03-01,zero hours contract Ireland,66,2023,3
2023-03-01,gig work Ireland,72,2023,3
2023-04-01,Deliveroo Ireland,66,2023,4
2023-04-01,Fiverr Ireland,73,2023,4
2023-04-01,side hustle Ireland,79,2023,4
2023-04-01,zero hours contract Ireland,67,2023,4
2023-04-01,gig work Ireland,65,2023,4
2023-05-01,Deliveroo Ireland,74,2023,5
2023-05-01,Fiverr Ireland,78,2023,5
2023-05-01,side hustle Ireland,62,2023,5
2023-05-01,zero hours contract Ireland,68,2023,5
2023-05-01,gig work Ireland,71,2023,5
2023-06-01,Deliveroo Ireland,64,2023,6
2023-06-01,Fiverr Ireland,56,2023,6
2023-06-01,side hustle Ireland,58,2023,6
2023-06-01,zero hours contract Ireland,59,2023,6
2023-06-01,gig work Ireland,60,2023,6
2023-07-01,Deliveroo Ireland,62,2023,7
2023-07-01,Fiverr Ireland,67,2023,7
2023-07-01,side hustle Ireland,55,2023,7
2023-07-01,zero hours contract Ireland,58,2023,7
2023-07-01,gig work Ireland,56,2023,7
2023-08-01,Deliveroo Ireland,61,2023,8
2023-08-01,Fiverr Ireland,55,2023,8
2023-08-01,side hustle Ireland,54,2023,8
2023-08-01,zero hours contract Ireland,51,2023,8
2023-08-01,gig work Ireland,66,2023,8
2023-09-01,Deliveroo Ireland,70,2023,9
2023-09-01,Fiverr Ireland,59,2023,9
2023-09-01,side hustle Ireland,66,2023,9
2023-09-01,zero hours contract Ireland,56,2023,9
2023-09-01,gig work Ireland,59,2023,9
2023-10-01,Deliveroo Ireland,64,2023,10
2023-10-01,Fiverr Ireland,57,2023,10
2023-10-01,side hustle Ireland,60,2023,10
2023-10-01,zero hours contract Ireland,59,2023,10
2023-10-01,gig work Ireland,63,2023,10
2023-11-01,Deliveroo Ireland,64,2023,11
2023-11-01,Fiverr Ireland,60,2023,11
2023-11-01,side hustle Ireland,62,2023,11
2023-11-01,zero hours contract Ireland,70,2023,11
2023-11-01,gig work Ireland,67,2023,11
2023-12-01,Deliveroo Ireland,71,2023,12
2023-12-01,Fiverr Ireland,80,2023,12
2023-12-01,side hustle Ireland,63,2023,12
2023-12-01,zero hours contract Ireland,72,2023,12
2023-12-01,gig work Ireland,69,2023,12
2024-01-01,Deliveroo Ireland,75,2024,1
2024-01-01,Fiverr Ireland,74,2024,1
2024-01-01,side hustle Ireland,70,2024,1
2024-01-01,zero hours contract Ireland,68,2024,1
2024-01-01,gig work Ireland,73,2024,1
2024-02-01,Deliveroo Ireland,73,2024,2
2024-02-01,Fiverr Ireland,75,2024,2
2024-02-01,side hustle Ireland,81,2024,2
2024-02-01,zero hours contract Ireland,70,2024,2
2024-02-01,gig work Ireland,76,2024,2
2024-03-01,Deliveroo Ireland,83,2024,3
2024-03-01,Fiverr Ireland,76,2024,3
2024-03-01,side hustle Ireland,86,2024,3
2024-03-01,zero hours contract Ireland,70,2024,3
2024-03-01,gig work Ireland,87,2024,3
2024-04-01,Deliveroo Ireland,78,2024,4
2024-04-01,Fiverr Ireland,71,2024,4
2024-04-01,side hustle Ireland,82,2024,4
2024-04-01,zero hours contract Ireland,80,2024,4
2024-04-01,gig work Ireland,85,2024,4
2024-05-01,Deliveroo Ireland,68,2024,5
2024-05-01,Fiverr Ireland,70,2024,5
2024-05-01,side hustle Ireland,79,2024,5
2024-05-01,zero hours contract Ireland,88,2024,5
2024-05-01,gig work Ireland,78,2024,5
2024-06-01,Deliveroo Ireland,76,2024,6
2024-06-01,Fiverr Ireland,68,2024,6
2024-06-01,side hustle Ireland,71,2024,6
2024-06-01,zero hours contract Ireland,69,2024,6
2024-06-01,gig work Ireland,74,2024,6
2024-07-01,Deliveroo Ireland,73,2024,7
2024-07-01,Fiverr Ireland,69,2024,7
2024-07-01,side hustle Ireland,72,2024,7
2024-07-01,zero hours contract Ireland,68,2024,7
2024-07-01,gig work Ireland,75,2024,7
2024-08-01,Deliveroo Ireland,62,2024,8
2024-08-01,Fiverr Ireland,73,2024,8
2024-08-01,side hustle Ireland,62,2024,8
2024-08-01,zero hours contract Ireland,66,2024,8
2024-08-01,gig work Ireland,60,2024,8
2024-09-01,Deliveroo Ireland,68,2024,9
2024-09-01,Fiverr Ireland,66,2024,9
2024-09-01,side hustle Ireland,69,2024,9
2024-09-01,zero hours contract Ireland,57,2024,9
2024-09-01,gig work Ireland,66,2024,9
2024-10-01,Deliveroo Ireland,69,2024,10
2024-10-01,Fiverr Ireland,62,2024,10
2024-10-01,side hustle Ireland,70,2024,10
2024-10-01,zero hours contract Ireland,56,2024,10
2024-10-01,gig work Ireland,66,2024,10
2024-11-01,Deliveroo Ireland,78,2024,11
2024-11-01,Fiverr Ireland,70,2024,11
2024-11-01,side hustle Ireland,67,2024,11
2024-11-01,zero hours contract Ireland,70,2024,11
2024-11-01,gig work Ireland,71,2024,11
2024-12-01,Deliveroo Ireland,80,2024,12
2024-12-01,Fiverr Ireland,76,2024,12
2024-12-01,side hustle Ireland,79,2024,12
2024-12-01,zero hours contract Ireland,76,2024,12
2024-12-01,gig work Ireland,71,2024,12
2025-01-01,Deliveroo Ireland,73,2025,1
2025-01-01,Fiverr Ireland,82,2025,1
2025-01-01,side hustle Ireland,67,2025,1
2025-01-01,zero hours contract Ireland,71,2025,1
2025-01-01,gig work Ireland,73,2025,1
2025-02-01,Deliveroo Ireland,87,2025,2
2025-02-01,Fiverr Ireland,76,2025,2
2025-02-01,side hustle Ireland,86,2025,2
2025-02-01,zero hours contract Ireland,78,2025,2
2025-02-01,gig work Ireland,82,2025,2
2025-03-01,Deliveroo Ireland,84,2025,3
2025-03-01,Fiverr Ireland,84,2025,3
2025-03-01,side hustle Ireland,82,2025,3
2025-03-01,zero hours contract Ireland,77,2025,3
2025-03-01,gig work Ireland,85,2025,3
2025-04-01,Deliveroo Ireland,87,2025,4
2025-04-01,Fiverr Ireland,88,2025,4
2025-04-01,side hustle Ireland,85,2025,4
2025-04-01,zero hours contract Ireland,86,2025,4
2025-04-01,gig work Ireland,80,2025,4
2025-05-01,Deliveroo Ireland,84,2025,5
2025-05-01,Fiverr Ireland,84,2025,5
2025-05-01,side hustle Ireland,80,2025,5
2025-05-01,zero hours contract Ireland,82,2025,5
2025-05-01,gig work Ireland,82,2025,5
2025-06-01,Deliveroo Ireland,81,2025,6
2025-06-01,Fiverr Ireland,71,2025,6
2025-06-01,side hustle Ireland,71,2025,6
2025-06-01,zero hours contract Ireland,71,2025,6
2025-06-01,gig work Ireland,76,2025,6
2025-07-01,Deliveroo Ireland,77,2025,7
2025-07-01,Fiverr Ireland,64,2025,7
2025-07-01,side hustle Ireland,75,2025,7
2025-07-01,zero hours contract Ireland,81,2025,7
2025-07-01,gig work Ireland,76,2025,7
2025-08-01,Deliveroo Ireland,63,2025,8
2025-08-01,Fiverr Ireland,75,2025,8
2025-08-01,side hustle Ireland,74,2025,8
2025-08-01,zero hours contract Ireland,71,2025,8
2025-08-01,gig work Ireland,74,2025,8
2025-09-01,Deliveroo Ireland,65,2025,9
2025-09-01,Fiverr Ireland,72,2025,9
2025-09-01,side hustle Ireland,74,2025,9
2025-09-01,zero hours contract Ireland,69,2025,9
2025-09-01,gig work Ireland,70,2025,9
2025-10-01,Deliveroo Ireland,71,2025,10
2025-10-01,Fiverr Ireland,71,2025,10
2025-10-01,side hustle Ireland,70,2025,10
2025-10-01,zero hours contract Ireland,70,2025,10
2025-10-01,gig work Ireland,76,2025,10
2025-11-01,Deliveroo Ireland,68,2025,11
2025-11-01,Fiverr Ireland,78,2025,11
2025-11-01,side hustle Ireland,80,2025,11
2025-11-01,zero hours contract Ireland,70,2025,11
2025-11-01,gig work Ireland,77,2025,11
2025-12-01,Deliveroo Ireland,77,2025,12
2025-12-01,Fiverr Ireland,87,2025,12
2025-12-01,side hustle Ireland,81,2025,12
2025-12-01,zero hours contract Ireland,89,2025,12
2025-12-01,gig work Ireland,88,2025,12
